"University Name,School Name,Program  Title",Program Type,Tuition,Program Length,Program Start,Delivery Method,Email,Phone Number,Address,Program Information
American University�s Kogod School of Business: MS in Accounting,Accounting,"$49,260",1-2 years,Fall and Spring,On-Campus,kogodgrad@american.edu,202-885-1000,"American University, Kogod School of Business, 4400 Massachusetts Avenue NW, Washington, District of Columbia 20016",http://www.american.edu/kogod/graduate/MS-ACCT.cfm
American University�s Kogod School of Business: MS in Analytics,Analytics & Data Science,"$50,358",12 to 24 months,Fall,On-Campus,bizundergrad@american.edu,202-885-1000,"American University, Kogod School of Business, 4400 Massachusetts Avenue NW, Washington, District of Columbia 20016",http://www.american.edu/kogod/graduate/MS-ANLT.cfm
American University�s Kogod School of Business: MS in Finance,Finance,"$50,358",1-2 years,Fall,On-Campus,kogodgrad@american.edu,202-885-1000,"American University, Kogod School of Business, 4400 Massachusetts Avenue NW, Washington, District of Columbia 20016",http://www.american.edu/kogod/graduate/MS-FNAN.cfm
American University�s Kogod School of Business: MS in Marketing,Marketing,"$45,780",1 or 2 years,Fall,On-Campus,kogodgrad@american.edu,202-885-1913,"American University, Kogod School of Business, 4400 Massachusetts Avenue NW, Washington, District of Columbia 20016",http://www.american.edu/kogod/graduate/MS-RLES.cfm
American University�s Kogod School of Business: MS in Sustainability Management,Management,"$45,780",1 or 2 years,Fall,On-Campus,kogodgrad@american.edu,202-885-1000,"American University, Kogod School of Business, 4400 Massachusetts Avenue NW, Washington, District of Columbia 20016",http://www.american.edu/kogod/graduate/MS-SMGT.cfm
American University�s Kogod School of Business: MS in Taxation,Taxation,"$45,780",1-2 years,Fall,On-Campus,kogodgrad@american.edu,202-885-1000,"American University, Kogod School of Business, 4400 Massachusetts Avenue NW, Washington, District of Columbia 20016",http://www.american.edu/kogod/graduate/MS-TAXN.cfm
Arizona State University�s W. P. Carey School of Business: Masters in Accountancy,Accounting,"$27,200 - $48,200",9 months,January & August,On-Campus,wpcareymasters@asu.edu,480-965-3332,"Arizona State University, W. P. Carey School of Business, ASU Admissions Office, Graduate Admissions, 1151 S. Forest Avenue, #SSV112, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/accounting-taxation
Arizona State University�s W. P. Carey School of Business: MS in Business Analytics (On-Campus),Analytics & Data Science,"$33,200 - $54,200",9 months,August,On-Campus,wpcareymasters@asu.edu,480-965-3332,"ASU Admissions Services, Graduate Admissions, 1151 S. Forest Avenue, #SSV112, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/business-analytics
Arizona State University�s W. P. Carey School of Business: MS in Business Analytics (Online),Analytics & Data Science,"$40,000",16 months,January,Online,wpcareymasters@asu.edu,480-965-3332,"MS-BA Admissions Representatives, ASU Admissions Services,, Graduate Admissions,, 1151 S. Forest Avenue, #SSV112, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/online-business-analytics
Arizona State University�s W. P. Carey School of Business: MS in Finance,Finance,"$37,200 - $58,200",9 months,August,On-Campus,wpcareymasters@asu.edu,480-965-3332,"ASU Admissions Services, Graduate Admissions, MS-Finance Admissions Representatives, 1151 S. Forest Avenue, #SSV112, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/finance
